Thread ID: 72435830
Fiber ID: 68098690
Total: 0.009167
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.31      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#serialize_response_to 
  0.30      0.003     0.000     0.000     0.003        2   Moped::Node#insert 
  0.30      0.000     0.000     0.000     0.000        2   Moped::Sockets::Connectable#write 
  0.30      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#serialize_request_id 
  0.30      0.000     0.000     0.000     0.000        1   TerminalUser#sanitize_ansi_data 
  0.30      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#serialize_full_collection_name 
  0.30      0.000     0.000     0.000     0.000        1   Reel::Connection#reset_request 
  0.30      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#serialize_op_code 
  0.29      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#serialize_flags 
  0.28      0.000     0.000     0.000     0.000        2   <Class::CGI>#unescape 
  0.27      0.000     0.000     0.000     0.000        5   String#capitalize 
  0.27      0.000     0.000     0.000     0.000        2   Moped::Session#[] 
  0.27      0.000     0.000     0.000     0.000        1   Session::AbstractSession#execute 
  0.26      0.000     0.000     0.000     0.000        4   Moped::Node#down? 
  0.26      0.000     0.000     0.000     0.000        4   Moped::Protocol::Insert#length 
  0.26      0.000     0.000     0.000     0.000        2   <Class::Celluloid::Task>#current 
  0.26      0.000     0.000     0.000     0.000        7   String#to_s 
  0.26      0.000     0.000     0.000     0.000        2   Moped::Node#connected? 
  0.25      0.000     0.000     0.000     0.000        2   Hash#inspect 
  0.24      0.000     0.000     0.000     0.000        5   String#% 
  0.24      0.000     0.000     0.000     0.000        5   Hash#[]= 
  0.24      0.000     0.000     0.000     0.000        2   Moped::Node#needs_refresh? 
  0.23      0.000     0.000     0.000     0.000        2   Moped::Connection#receive_replies 
  0.23      0.000     0.000     0.000     0.000        2   Moped::Session#safety 
  0.23      0.000     0.000     0.000     0.000        6   String#inspect 
  0.23      0.000     0.000     0.000     0.000        4   Time#- 
  0.22      0.000     0.000     0.000     0.000        1   Reel::Response#canonicalize_headers 
  0.22      0.004     0.000     0.000     0.004        2   Moped::Session::Context#insert 
  0.22      0.000     0.000     0.000     0.000        2   Moped::Collection#initialize 
  0.22      0.001     0.000     0.000     0.001        2   <Class::Moped::BSON::Document>#serialize 
  0.22      0.002     0.000     0.000     0.002        1   Reel::Request#respond 
  0.21      0.000     0.000     0.000     0.000        6   Array#empty? 
  0.21      0.000     0.000     0.000     0.000        4   Fixnum#to_s 
  0.21      0.000     0.000     0.000     0.000        5   <Class::Hash>#allocate 
  0.21      0.000     0.000     0.000     0.000        2   Moped::Session::Context#safe? 
  0.21      0.000     0.000     0.000     0.000        2   Moped::Session#safe? 
  0.21      0.000     0.000     0.000     0.000        1   TerminalUser#execute 
  0.21      0.000     0.000     0.000     0.000        1   Reel::Request::Parser#reset 
  0.21      0.000     0.000     0.000     0.000        2   Moped::Session::Context#consistency 
  0.20      0.000     0.000     0.000     0.000       12   NilClass#inspect 
  0.20      0.000     0.000     0.000     0.000        4   Time#initialize 
  0.20      0.000     0.000     0.000     0.000        2   Moped::Database#[] 
  0.20      0.000     0.000     0.000     0.000        1   Session::AbstractSession#ready? 
  0.19      0.001     0.000     0.000     0.001        2   Moped::Protocol::Insert#serialize_documents 
  0.19      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#response_to 
  0.19      0.000     0.000     0.000     0.000        2   Enumerable#find 
  0.19      0.000     0.000     0.000     0.000        1   String#slice! 
  0.19      0.000     0.000     0.000     0.000        2   Moped::Session#current_database 
  0.19      0.000     0.000     0.000     0.000        2   Enumerable#partition 
  0.18      0.000     0.000     0.000     0.000        2   StringIO#read 
  0.18      0.000     0.000     0.000     0.000        2   Moped::Sockets::Connectable#check_if_alive! 
  0.18      0.000     0.000     0.000     0.000        6   IO#inspect 
  0.18      0.000     0.000     0.000     0.000        4   Array#push 
  0.18      0.000     0.000     0.000     0.000        2   Moped::Connection#connected? 
  0.17      0.000     0.000     0.000     0.000        2   Logger#debug? 
  0.17      0.000     0.000     0.000     0.000        2   Array#zip 
  0.17      0.000     0.000     0.000     0.000        2   Moped::Cluster#member? 
  0.17      0.000     0.000     0.000     0.000        2   Moped::Cluster#max_retries 
  0.17      0.000     0.000     0.000     0.000        4   <Class::Time>#allocate 
  0.16      0.000     0.000     0.000     0.000        4   Array#pop 
  0.16      0.000     0.000     0.000     0.000        2   Moped::Cluster#down_interval 
  0.16      0.000     0.000     0.000     0.000        2   Moped::Cluster#auth 
  0.16      0.000     0.000     0.000     0.000        2   Comparable#< 
  0.16      0.000     0.000     0.000     0.000        2   Moped::Session::Context#cluster 
  0.16      0.000     0.000     0.000     0.000        1   Hash#keys 
  0.16      0.000     0.000     0.000     0.000        2   Moped::Session#consistency 
  0.15      0.000     0.000     0.000     0.000        2   Moped::Session::Context#initialize 
  0.15      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#flags 
  0.15      0.000     0.000     0.000     0.000        2   Moped::Node#primary? 
  0.14      0.000     0.000     0.000     0.000        2   String#[] 
  0.14      0.000     0.000     0.000     0.000        2   Moped::Cluster#refresh_interval 
  0.14      0.000     0.000     0.000     0.000        3   Symbol#== 
  0.14      0.000     0.000     0.000     0.000        2   Kernel#lambda 
  0.14      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#op_code 
  0.14      0.000     0.000     0.000     0.000        2   Array#transpose 
  0.14      0.000     0.000     0.000     0.000        2   Moped::Protocol::Insert#request_id 
  0.14      0.000     0.000     0.000     0.000        2   Moped::Node#auth 
  0.13      0.000     0.000     0.000     0.000        2   Array#inspect 
  0.13      0.000     0.000     0.000     0.000        2   Symbol#inspect 
  0.13      0.000     0.000     0.000     0.000        5   Kernel#nil? 
  0.13      0.000     0.000     0.000     0.000        2   Moped::BSON::Extensions::Object#__safe_options__ 
